"id","#Organism/Name","Strain","Size (Mb)","TotalScore","SequenceScore","Phylogroup","Bioproject","Biosample","Pasteur_MLST","Achtman_MLST","Patric_Serovar","Patric_Pathovar","Patric_MLST","Patric_Other_Typing","Patric_Publication","Patric_Sequencing_Centers","Patric_Sequencing_Platform","Patric_Sequencing_Depth","Patric_Assembly_Method","Patric_Isolation_Source","Patric_Isolation_Comments","Patric_Isolation_Country","Patric_Collection_Date","Patric_Geographic_Location","Patric_Host_Name","Patric_Host_Health","Patric_Disease","Patric_Body_Sample_Site","Patric_Other_Clinical","PCR_Products","Quadruplex","Clermont_Specific","PCR_Phylogroup","Mash_dist_Phylogroup","Mash_screen_Phylogroup","Abram_Concat_Phylogroup","Boolean_Mash_screen_Mash_dist","Boolean_Abram_Phylogroup_PCR_Phylogroup","Boolean_Abram_Phylogroup_Mash_screen","Boolean_Abram_Phylogroup_Mash_dist","Boolean_PCR_Phylogroup_Mash_screen","Boolean_PCR_Phylogroup_Mash_dist"
"GCA_001571965.1","Escherichia coli","CFSAN025104","5.59146","0.85","0.71","C","PRJNA230969","SAMN04338476","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572245.1","Escherichia coli","CFSAN025121","5.58082","0.8","0.72","C","PRJNA230969","SAMN04338488","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572565.1","Escherichia coli","CFSAN025125","5.60188","0.83","0.73","C","PRJNA230969","SAMN04338497","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572425.1","Escherichia coli","CFSAN025123","5.60078","0.88","0.73","C","PRJNA230969","SAMN04338498",,,,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572285.1","Escherichia coli","CFSAN025110","5.79354","0.89","0.65","C","PRJNA230969","SAMN04338480","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001571885.1","Escherichia coli","CFSAN025100","5.77215","0.88","0.72","C","PRJNA230969","SAMN04338473","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572185.1","Escherichia coli","CFSAN025101","5.7659199999999995","0.85","0.72","C","PRJNA230969","SAMN04338474","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001571845.1","Escherichia coli","CFSAN025098","5.76705","0.83","0.72","C","PRJNA230969","SAMN04338471","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572525.1","Escherichia coli","CFSAN025105","5.78607","0.88","0.7","C","PRJNA230969","SAMN04338475","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001039205.2","Escherichia coli","36293","5.78832","0.95","0.78","C","PRJNA284656","SAMN03704970","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002735125.1","Escherichia coli O26:H11","333KH91","5.49749","0.82","0.69","C","PRJDB5571","SAMD00075760","-","29","O26:H11",,"MLST.Escherichia_coli_1.29",,,"Microbiology, Graduate School of Medical Sciences, Kyushu University","Illumina HiSeq 2000","124.141x","Platanus v. 1.1.0","patients with symptoms","isolated from patients with symptoms in Japan from 1994 to 2011","Netherlands","1991","Netherlands","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002764195.1","Escherichia coli O26:H11","ED80","5.49236","0.82","0.68","C","PRJDB5571","SAMD00075765","-","29","O26:H11",,"MLST.Escherichia_coli_1.29",,,"Microbiology, Graduate School of Medical Sciences, Kyushu University","Illumina HiSeq 2000","97.9241x","Platanus v. 1.1.0","patients with symptoms","isolated from patients with symptoms in Japan from 1994 to 2011","Italy","1992","Italy","Cow, Bos taurus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001039215.2","Escherichia coli","36348","5.97145","0.97","0.87","C","PRJNA284656","SAMN03704969","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000446725.2","Escherichia coli C654_09","C654_09","5.49556","0.83","0.52","C","PRJNA79285","SAMN02435909","-","29",,,"MLST.Escherichia_coli_1.29",,,"IGS","Illumina HiSeq 2000","219x","Velvet v. 1.1.04","stool sample",,"France",,"France","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001039155.2","Escherichia coli","34827","5.93262","0.93","0.73","C","PRJNA284656","SAMN03704967","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001039145.2","Escherichia coli","34870","5.79704","0.94","0.76","C","PRJNA284656","SAMN03704968","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_900000205.1","Escherichia coli O26:H11","Escherichia coli O26:H11 21765","5.6761099999999995","0.94","0.85","C","PRJEB7864","SAMEA3145163","-","29",,,"MLST.Escherichia_coli_1.29",,,"VETAGROSUP",,,,"patients and linked to the consumption of unpasteurized cows cheese","derived from patients and linked to the consumption of unpasteurized cows cheese",,,,"Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000249895.2","Escherichia coli DEC9A","DEC9A","5.40845","0.97","0.87","C","PRJNA50989","SAMN00190967","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,"22582382","Institute for Genome Sciences",,,,,,"United States","1961","USA: WI","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000249935.2","Escherichia coli DEC9C","DEC9C","5.1947199999999984","0.97","0.89","C","PRJNA50993","SAMN00190970","-","29",,,"MLST.Escherichia_coli_1.29",,"22582382","Institute for Genome Sciences",,,,,,"Switzerland","1952","Switzerland","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000249975.2","Escherichia coli DEC9E","DEC9E","5.43077","0.97","0.89","C","PRJNA50997","SAMN00217320","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,"22582382","Institute for Genome Sciences",,,,,,"Mexico","1986","Mexico","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000249915.2","Escherichia coli DEC9B","DEC9B","5.3616","0.97","0.89","C","PRJNA50991","SAMN00190968","-","29",,,"MLST.Escherichia_coli_1.29",,"22582382","Institute for Genome Sciences",,,,,,"United States","1979","USA: NH","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572215.1","Escherichia coli","CFSAN025115","5.46243","0.9","0.71","C","PRJNA230969","SAMN04338486","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572145.1","Escherichia coli","CFSAN025119","5.46384","0.85","0.71","C","PRJNA230969","SAMN04338491","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572295.1","Escherichia coli","CFSAN025109","5.38552","0.86","0.65","C","PRJNA230969","SAMN04338478","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001571825.1","Escherichia coli","CFSAN025095","5.45251","0.85","0.71","C","PRJNA230969","SAMN04338479","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572635.1","Escherichia coli","CFSAN025132","5.4399","0.83","0.72","C","PRJNA230969","SAMN04338484","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572135.1","Escherichia coli","CFSAN025118","5.43595","0.85","0.71","C","PRJNA230969","SAMN04338490","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002735045.1","Escherichia coli O26:H11","TC6167","5.30981","0.83","0.71","C","PRJDB5571","SAMD00075756","-","29","O26:H11",,"MLST.Escherichia_coli_1.29",,,"Microbiology, Graduate School of Medical Sciences, Kyushu University","Illumina HiSeq 2000","64.3574x","Platanus v. 1.1.0","patients with symptoms","isolated from patients with symptoms in Japan from 1994 to 2011","Switzerland","1952","Switzerland","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572365.1","Escherichia coli","CFSAN025124","5.48759","0.83","0.71","C","PRJNA230969","SAMN04338496","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001571985.1","Escherichia coli","CFSAN025106","5.4691300000000025","0.86","0.73","C","PRJNA230969","SAMN04338481","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572375.1","Escherichia coli","CFSAN025126","5.38145","0.89","0.75","C","PRJNA230969","SAMN04338494","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572265.1","Escherichia coli","CFSAN025122","5.37523","0.83","0.74","C","PRJNA230969","SAMN04338493","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572405.1","Escherichia coli","CFSAN025133","5.38746","0.91","0.75","C","PRJNA230969","SAMN04338492","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002467385.1","Escherichia coli","MOD1-EC6824","5.475569999999999","0.92","0.66","C","PRJNA230969","SAMN04992190","-","314","O15:H16",,"MLST.Escherichia_coli_1.314,MLST.Escherichia_coli_2.481",,,"FDA/CFSAN","Illumina MiSeq","26.8x","SPAdes v. 3.8.2","lung",,"United States","6-Oct-95","USA: WA","mink",,,,,"ybgD, trpA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002229455.1","Escherichia coli","MOD1-EC5503","5.52944","0.89","0.55","C","PRJNA230969","SAMN05464532","481","314",,,"MLST.Escherichia_coli_1.314,MLST.Escherichia_coli_2.481",,,"FDA/CFSAN","Illumina NextSeq 500","46.5x","SPAdes v. 3.8.2","Small Intestine",,"United States","1-Jan-76","USA:PA","Rabbit, Oryctolagus cuniculus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002459445.1","Escherichia coli","MOD1-EC1744","5.7336","0.89","0.56","C","PRJNA230969","SAMN05607336","481","314",,,"MLST.Escherichia_coli_1.314,MLST.Escherichia_coli_2.481",,"29242221","FDA/CFSAN","Illumina NextSeq 500","47.2x","SPAdes v. 3.8.2","feces",,"United States","1975","USA: SC","Rabbit, Oryctolagus cuniculus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000250095.2","Escherichia coli DEC10F","DEC10F","5.76431","0.96","0.86","C","PRJNA51009","SAMN00199322","-","-",,,"MLST.Escherichia_coli_1.314,MLST.Escherichia_coli_2.481",,"22582382","Institute for Genome Sciences",,,,,,"United States","1970","USA: SC","Rabbit, Oryctolagus cuniculus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001572615.1","Escherichia coli","CFSAN025137","5.26179","0.82","0.66","C","PRJNA230969","SAMN04338501","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000249955.2","Escherichia coli DEC9D","DEC9D","5.48562","0.97","0.9","C","PRJNA50995","SAMN00190986","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,"22582382","Institute for Genome Sciences",,,,"infant",,"Denmark","1967","Denmark","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002461975.1","Escherichia coli","MOD1-EC1541","5.35912","0.88","0.63","C","PRJNA230969","SAMN05591723","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,,"FDA/CFSAN","Illumina MiSeq","84.8x","SPAdes v. 3.8.2","feces",,"Guinea-Bissau","1996","Guinea-Bissau","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002517985.1","Escherichia coli","MOD1-EC5794","5.201969999999998","0.89","0.57","C","PRJNA230969","SAMN05464498","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,,"FDA/CFSAN","Illumina NextSeq 500","86.4x","SPAdes v. 3.8.2","pleural cavity",,"United States","8-Feb-83","USA: PA","Pig, Sus scrofa",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002457855.1","Escherichia coli","MOD1-EC1940","5.45794","0.81","0.56","C","PRJNA230969","SAMN05605298","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,"29242221","FDA/CFSAN","Illumina NextSeq 500","38.5x","SPAdes v. 3.8.2","feces",,,,,"Pig, Sus scrofa",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001660165.1","Escherichia coli","81-4420","5.37824","0.87","0.59","C","PRJNA286916","SAMN03775332","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002459135.1","Escherichia coli","MOD1-EC1938","5.37977","0.88","0.51","C","PRJNA230969","SAMN05605299","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,"29242221","FDA/CFSAN","Illumina NextSeq 500","32.1x","SPAdes v. 3.8.2","feces",,,,,"Pig, Sus scrofa",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001285285.1","Escherichia coli","703753","5.2649","0.93","0.7","C","PRJEB2827","SAMEA1531023","481","5406",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001284925.1","Escherichia coli","400897_aEPEC","5.1412","0.92","0.67","C","PRJEB2827","SAMEA1466162",,,,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001285885.1","Escherichia coli","402227_aEPEC","5.14288","0.84","0.65","C","PRJEB2827","SAMEA1466182","-","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000446445.2","Escherichia coli C347_93","C347_93","4.98431","0.86","0.55","C","PRJNA79253","SAMN02435905","-","29",,,"MLST.Escherichia_coli_1.29",,,"IGS","Illumina HiSeq 2000","233x","Velvet v. 1.1.04","stool sample",,"Thailand",,"Thailand","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001284505.1","Escherichia coli","403308_aEPEC","5.09302","0.88","0.61","C","PRJEB2827","SAMEA1466151",,,,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002460955.1","Escherichia coli","MOD1-EC1566","5.24949","0.9","0.58","C","PRJNA230969","SAMN05591698","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,,"FDA/CFSAN","Illumina NextSeq 500","39.0x","SPAdes v. 3.8.2","feces",,"Guinea-Bissau","1997","Guinea-Bissau","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001285965.1","Escherichia coli","402635","5.19219","0.93","0.73","C","PRJEB2827","SAMEA1531064","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000713935.1","Escherichia coli 3-475-03_S3_C2","3-475-03_S3_C2","5.4484","0.88","0.73","C","PRJNA233827","SAMN02680213","-","29",,,"MLST.Escherichia_coli_1.29",,"-","IGS","Illumina","81.86x","MaSuRCA v. 2.0.3.1","stool",,"Tanzania","2009","Tanzania","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000461135.1","Escherichia coli UMEA 3292-1","UMEA 3292-1","5.4088","0.96","0.86","C","PRJNA186338","SAMN01885947","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,,"Broad Institute","Illumina","273.0x","allpaths v. R46382","urine","UTI induced bacteremia","Sweden","1995",,"Human, Homo sapiens",,"Urinary tract infection;bacterimia",,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001286205.1","Escherichia coli","703975_aEPEC","5.17459","0.86","0.63","C","PRJEB2827","SAMEA1466117","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001284885.1","Escherichia coli","504180","5.2203300000000015","0.92","0.67","C","PRJEB2827","SAMEA1531005","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001286445.1","Escherichia coli","500094","5.2313","0.91","0.65","C","PRJEB2827","SAMEA1531063","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001285865.1","Escherichia coli","505513_aEPEC","5.25464","0.89","0.65","C","PRJEB2827","SAMEA1466103","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001286145.1","Escherichia coli","503947_aEPEC","5.26751","0.89","0.65","C","PRJEB2827","SAMEA1466110","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001285245.1","Escherichia coli","503331","5.14975","0.9","0.7","C","PRJEB2827","SAMEA1530999","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001286405.1","Escherichia coli","300086_aEPEC","5.2169099999999995","0.86","0.65","C","PRJEB2827","SAMEA1466152","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001285425.1","Escherichia coli","202621_aEPEC","5.4125","0.89","0.66","C","PRJEB2827","SAMEA1466192","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001283765.1","Escherichia coli","200959_aEPEC","5.32341","0.92","0.66","C","PRJEB2827","SAMEA1466146","481","29",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001283445.1","Escherichia coli","700149","5.22087","0.87","0.67","C","PRJEB2827","SAMEA1531019","481","5234",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000446745.2","Escherichia coli C717_10","C717_10","5.1887","0.83","0.54","C","PRJNA79289","SAMN02435910","-","4550",,,"MLST.Escherichia_coli_1.4550",,,"IGS","Illumina HiSeq 2000","130x","Velvet v. 1.1.04","stool sample",,"Denmark",,"Denmark","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002519325.1","Escherichia coli","MOD1-EC6947","5.2285","0.91","0.63","C","PRJNA230969","SAMN04992313","-","4550",,,"MLST.Escherichia_coli_1.4550",,,"FDA/CFSAN","Illumina NextSeq 500","46.2x","SPAdes v. 3.8.2","small intestine",,"United States","29-Oct-97","USA: CA","quail",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002510325.1","Escherichia coli","MOD1-EC6546","5.287999999999999","0.83","0.54","C","PRJNA230969","SAMN04993168","-","29","O91:H21",,"MLST.Escherichia_coli_1.29",,,"FDA/CFSAN","Illumina NextSeq 500","21.1x","SPAdes v. 3.8.2","skin",,"United States","26-Jun-90","USA: PA","Chicken, Gallus gallus",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001286505.1","Escherichia coli","302619","5.16941","0.92","0.66","C","PRJEB2827","SAMEA1531038","-","5480",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001283645.1","Escherichia coli","201534_aEPEC","5.0529","0.92","0.69","C","PRJEB2827","SAMEA1466189","-","4550",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001285905.1","Escherichia coli","G302544","5.08173","0.9","0.7","C","PRJEB2827","SAMEA1531040","-","4550",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001284405.1","Escherichia coli","403523","5.10564","0.91","0.72","C","PRJEB2827","SAMEA1530986","-","4550",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000700405.1","Escherichia coli 3-267-03_S1_C1","3-267-03_S1_C1","5.4531300000000025","0.93","0.7","C","PRJNA233714","SAMN02687476","-","-",,,"MLST.Escherichia_coli_1.5251,MLST.Escherichia_coli_2.481",,"-","IGS","Illumina","71.86x","MaSuRCA v. 2.0.3.1","stool",,"Tanzania","2009","Tanzania","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000700085.1","Escherichia coli 3-267-03_S1_C3","3-267-03_S1_C3","5.314","0.93","0.71","C","PRJNA233768","SAMN02680103","-","5251",,,"MLST.Escherichia_coli_1.5251,MLST.Escherichia_coli_2.481",,"-","IGS","Illumina","74.64x","MaSuRCA v. 2.0.3.1","stool",,"Tanzania","2009","Tanzania","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001286385.1","Escherichia coli","402770_aEPEC","5.15928","0.92","0.69","C","PRJEB2827","SAMEA1466186","481","5251",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_001286545.1","Escherichia coli","G401529","5.20869","0.93","0.72","C","PRJEB2827","SAMEA1531057","481","5251",,,,,,,,,,,,,,,,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_000447005.2","Escherichia coli C824_10","C824_10","5.00924","0.83","0.63","C","PRJNA79317","SAMN02435995","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,,"IGS","Illumina HiSeq 2000","130x","Velvet v. 1.1.04","stool sample",,"Denmark",,"Denmark","Human, Homo sapiens",,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
"GCA_002467245.1","Escherichia coli","MOD1-EC7012","5.10925","0.91","0.74","C","PRJNA230969","SAMN04992378","481","29",,,"MLST.Escherichia_coli_1.29,MLST.Escherichia_coli_2.481",,,"FDA/CFSAN","Illumina MiSeq","44.5x","SPAdes v. 3.8.2","water",,"United States","22-Nov-95","USA: NY",,,,,,"ybgD, trpA, trpBA, TspE4.C2, arpA","+, -, -, +",,"B1","B1","B1","C","True","False","False","False","True","True"
